instance_token,sample_token,token,translation,rotation,velocity,acceleration,heading_change_rate,prev,next,timestamp,scene_token
bc38961ca0ac4b14ab90e547ba79fbb6,39586f9d59004284a7114a68825e8eec,a286c9633fa34da5b978758f348996b0,"[392.945, 1148.426, 0.766]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",1.7065235955558908,-2.2965017515374417,0.0,16140fbf143d4e26a4a7613cbd3aa0e8,b41e15b89fd44709b439de95dd723617,1532402928147847,cc8c0bf57f984915a77078b10eb33198
bc38961ca0ac4b14ab90e547ba79fbb6,356d81f38dd9473ba590f39e266f54e5,b41e15b89fd44709b439de95dd723617,"[392.836, 1148.208, 0.791]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",0.4429861750349963,-2.2965017515374417,0.0,a286c9633fa34da5b978758f348996b0,b2b43ef63f5242b2a4c0b794e673782d,1532402928698048,cc8c0bf57f984915a77078b10eb33198
bc38961ca0ac4b14ab90e547ba79fbb6,e0845f5322254dafadbbed75aaa07969,b2b43ef63f5242b2a4c0b794e673782d,"[392.641, 1147.242, 0.816]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",1.9737137426635056,3.0657164207367775,0.0,b41e15b89fd44709b439de95dd723617,7bcf4bc87bf143588230254034eada12,1532402929197353,cc8c0bf57f984915a77078b10eb33198
bc38961ca0ac4b14ab90e547ba79fbb6,c923fe08b2ff4e27975d2bf30934383b,7bcf4bc87bf143588230254034eada12,"[392.081, 1145.988, 0.841]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",2.74428220172966,1.5397698015044246,0.0,b2b43ef63f5242b2a4c0b794e673782d,247a25c59f914adabee9460bd8307196,1532402929697797,cc8c0bf57f984915a77078b10eb33198
bc38961ca0ac4b14ab90e547ba79fbb6,f1e3d9d08f044c439ce86a2d6fcca57b,247a25c59f914adabee9460bd8307196,"[391.347, 1144.208, 0.841]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",4.233465076293623,3.2743385688386044,0.0,7bcf4bc87bf143588230254034eada12,e25b9e7019814d53876ff2697df7a2de,1532402930152601,cc8c0bf57f984915a77078b10eb33198
bc38961ca0ac4b14ab90e547ba79fbb6,4f545737bf3347fbbc9af60b0be9a963,e25b9e7019814d53876ff2697df7a2de,"[390.512, 1142.201, 0.891]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",4.385040264738063,0.30576530453207523,0.0,247a25c59f914adabee9460bd8307196,fe33c018573e4abda3ff8de0566ee800,1532402930648325,cc8c0bf57f984915a77078b10eb33198
bc38961ca0ac4b14ab90e547ba79fbb6,7626dde27d604ac28a0240bdd54eba7a,fe33c018573e4abda3ff8de0566ee800,"[389.29, 1139.46, 0.941]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",5.454630050039066,1.9440515446457538,0.0,e25b9e7019814d53876ff2697df7a2de,2c1a8ae13d76498c838a1fb733ff8700,1532402931198511,cc8c0bf57f984915a77078b10eb33198
bc38961ca0ac4b14ab90e547ba79fbb6,356d81f38dd9473ba590f39e266f54e5,b41e15b89fd44709b439de95dd723617,"[392.836, 1148.208, 0.791]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",0.4429861750349963,-2.2965017515374417,0.0,a286c9633fa34da5b978758f348996b0,b2b43ef63f5242b2a4c0b794e673782d,1532402928698048,cc8c0bf57f984915a77078b10eb33198
bc38961ca0ac4b14ab90e547ba79fbb6,e0845f5322254dafadbbed75aaa07969,b2b43ef63f5242b2a4c0b794e673782d,"[392.641, 1147.242, 0.816]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",1.9737137426635056,3.0657164207367775,0.0,b41e15b89fd44709b439de95dd723617,7bcf4bc87bf143588230254034eada12,1532402929197353,cc8c0bf57f984915a77078b10eb33198
bc38961ca0ac4b14ab90e547ba79fbb6,c923fe08b2ff4e27975d2bf30934383b,7bcf4bc87bf143588230254034eada12,"[392.081, 1145.988, 0.841]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",2.74428220172966,1.5397698015044246,0.0,b2b43ef63f5242b2a4c0b794e673782d,247a25c59f914adabee9460bd8307196,1532402929697797,cc8c0bf57f984915a77078b10eb33198
bc38961ca0ac4b14ab90e547ba79fbb6,f1e3d9d08f044c439ce86a2d6fcca57b,247a25c59f914adabee9460bd8307196,"[391.347, 1144.208, 0.841]","[-0.5443682117180475, 0.0, 0.0, 0.8388463804957943]",4.233465076293623,3.2743385688386044,0.0,7bcf4bc87bf143588230254034eada12,e25b9e7019814d53876ff2697df7a2de,1532402930152601,cc8c0bf57f984915a77078b10eb33198
